Najszybciej biegający ssak?;gepard;jaguar;tygrys;antylopa;1
Który ptak łowny nazywa się tak samo jak grzyb?;kurka;kania;sromotnik;dudek;2
Jakie zwierzę wydziela cuchnącą ciecz?;mrówka;gołąb;ślimak;skunks;4
Jak się nazywają bliźniaki zrośnięte częścią ciała?;Syryjskie;Samijskie;Syjamskie;Samirowe;3
Jaki jest najkrótszy żart na świecie?;programista HTML;programista CSS;programista Cobol;programista C;1
Z ilu kości składa się szkielet człowieka?;206;205;204;203;1
Ile przedsionków ma serce?;1;2;3;4;2
Dokończ przysłowie „Lepszy wróbel w garści...?;niż nic;niż dwie sroki za ogon złapać;niż gołąb na dachu;niż kukułka za oknem;3
Kto pierwszy wzbił się w niebo?;Dedal i Ikar;Asterix i Obelix;Flip i Flap;Bracia Chaplin;1
Dokończ przysłowie „Wszędzie dobrze ale...?;w domu najgorzej;rąbek u spódnicy;jak tatuś zrobi dziubek...;w domu najlepiej;4
