Jak miała na imię córka syrenki Ariel?;Refren;Bit;Melodia;Nutka;3
Jak nazywano królów starożytnych Egipcjan?;faraon;faraen;król egipcjan;mumia;1
Co jest najważniejszym dokumentem w Polsce?;kodeks karny;prawo ulicy;Konstytucja;prawo Pascala;3
Kto jest autorem „Iliady” i „Odysei”?;Sienkiewicz;Homer;Platon;Szekspir;2
W którym roku państwo polskie przyjęło chrzest?;969;696;966;669;3
Najstarsza osada na ziemiach polskich?;w Biskupinie;w Szczucinie;w Ciężkowicach;w Legnicy;1
Z czego składa się Parlament?;z krzeseł i stolików;z polityków;z zamieszania;z sejmu i senatu;4
W którym roku odbyła się bitwa pod Grunwaldem?;1140;1410;1014;1401;2
Luksemburg to miasto czy państwo?;pańswo;miasto;roślina;jedno i drugie;4
Tuzin to ile sztuk?;21;12;10;22;2
