Stolica Norwegii?;Oslo;Helsinki;Amsterdam;Berlin;1
Wiolonczela jest instrumentem: ;dętym;smyczkowym;szarpanym;trudnym do nauczenia się;2
U których zwierząt matki wypływają na polowanie a ojcowie wysiadują jaja?;krokodyle;dziobaki;pingwiny;sroki;3
Najszybsza dwunożna istota na ziemi?;struś;człowiek;flaming;makak;1
Które z tych zwierząt żyje najdłużej: ;hipopotam;wielbłąd;człowiek;słoń;4
Ile par nóg mają skorpiony?;4 pary;2 pary;8 par;6 par;1
Ile razy minutę bije serce u dorosłego człowieka?;~ 50-60 razy;~ 70-80 razy;~ 40-50 razy;~ 90-100 razy;2
Kto był ukryty jako dziecko w wiklinowym koszu?;Jezus;Judasz;Abraham;Mojżesz;4
Kto stracił swoje dzieci i bogactwo?;Adam;Ikar;Hiob;Salomon;3
Kto oczyścił stajnie Augiasza?;Augiasz;Herkules;Syzyf;Dionizos;2
