2 najdłuższe rzeki na świecie to;Wisła i Warta;Ganges i Odra;Nil i Amazonka;Wątok i Dunajec;3
Gdzie są Góry Ural?;w Kambodży;w Rosji;w Nigerii;we Włoszech;2
Jakie miasto europejskie przedzielone było przez wiele lat murem?;Berlin;Amsterdam;Oslo;Paryż;1
Jaki kwiat jest symbolem Szkocji?;stokrotka;tulipan;żonkil;Oset;4
Ile karatów ma czyste złoto?;13;26;12;24;4
Co tracisz gdy masz zapalenie krtani?;głos;losówki;rozum;pieniądze;1
Ile to jest 20% ze 100?;2;20;25;40;2
Po ilu latach małżeństwa obchodzi się stalowe gody?;10;25;11;15;3
Ile córek miała zła macocha w bajce „Kopciuszek”?;jedną;cztery;dwie;trzy;3
Jak miała na imię mysz z bajki „Pszczółka Maja”?;Maciek;Antek;Mariusz;Aleksander;4
