Kto pisał Psalmy?;Krół Karol;Król Tomasz;Król Dawid ;Król Jakub;3
Jak narodziła się Afrodyta?;urodziła się z piany morskiej;powstała z gliny;wyczarował ją Zeus;nikt tego nie wie;1
W jakiej rzece był ochrzczony Jezus?;w Gangesie;w Nilu;w Efracie;w Jordanie;4
Jaka jest najdłuższa kość?;kość udowa;kość przedramienia;kręgosłup;kość piszczelowa;1
Jaka witamina zawarta w wątrobie i warzywach pomaga w krzepnięciu krwi?;C;K;A;D;2
Kto przetłumaczył Biblię na jęz. niemiecki?;Erich Kästner;Nele Neuhaus;Martin Luter;Johann Wolfgang von Goethe;2
Co Otto III podarował Bolesławowi Chrobremu?;swoją koronę;kawałek Niemiec;Włócznię Św. Maurycego;swoją córkę;3
Który król przeniósł stolicę Polski z Krakowa do Warszawy?;Kazimierz Wielki;Bolesław Chrobry;Włądysław Łokietek; Zygmunt III Waza;4
Ile metrów ma kilometr?;1000;1024;100;10000;2
Jaki Święty umarł w 1226r.?;św. Jan Paweł II;św. błg. Karolina Kózka;św. Franciszek z Asyżu;św. Piotr;3
