W jakim kraju najwcześniej objawił się obecny, światowy kryzys finansowo-ekonomiczny?;w Grecji;w USA;w Portugalii;w Polsce;2
Rada Polityki Pieniężnej ustala poziom: ;płacy minimalnej;maksymalnego oprocentowania kredytów;stóp procentowych NBP;deficytu budżetowego;3
Do podatków pośrednich nie należy: ;VAT;akcyza;podatek obrotowy;PIT;4
Legiony Polskie brały udział w walkach I wojny światowej po stronie: ;Austro-Węgier i Niemiec;Francji i Anglii;Rosji i Serbii;Norwegii i Belgii;1
Które miasto jako pierwsze odzyskało niepodległość?;Cieszyn;Radom;Tarnów;Warszawa;3
W którym miejscu w Warszawie witano Józefa Piłsudskiego?;na dworcu;na Żoliborzu;w Ogrodzie Saskim;w Sejmie;1
Kiedy został zaprzysiężony rząd polski po odzyskaniu niepodległości?;11 listopada;18 listopada;24 listopada;13 listopada;2
Kraj w którym utworzono polską „Błękitną Armię” to: ;Hiszpania;Włochy;Anglia;Francja;4
Wydaną po wybuchu I wojny światowej odezwę obiecującą odrodzenie i autonomię Polski w ramach państwa rosyjskiego podpisał: ;car Mikołaj;wielki książę Mikołaj;Włodzimierz Lenin;Józef Stalin;1
Dokąd nocą tupta jeż?;po jabuszkza;do lasu;odwiedzić babcie;tego nie wie nikt;4
