W jakim mieście urodził się Jezus?;w Białymstoku;w Rzymie;w Betlejem;w Katowicach;3
Najwyższe zwierzę na ziemi?;żyrafa;antylopa;Marcin Gortat;łoś;1
Czy albinos jest biały czy czarny?;tak;czarny;biały;okoń;3
W jakiej części ciała jest kręgosłup?;w stopie;w plecach;w dłoni;w kolanie;2
Podaj przeciwieństwo wyrazu mały?;duży;średni;ogromniasty;taki malutki;1
Co w języku angielskim oznacza wyraz waiter?;oczekiwanie;kelnerzyć;czekacz;kelner;4
Jak się nazywał rzymski bóg morza?;Zeus;Freya;Neptun;Odyn;3
Ile Przykazań Bożych otrzymał Mojżesz od Pana Boga?;10;1;100;1024;1
Badanie krwi to;chemioterapia;potrzebna rzecz;cytologia;morfologia;4
Które zwierze spada zawsze na cztery łapy?;student;ryba;kot;pies;3
