Stolica Turcji to;Bangladesz;Ankara;Budapeszt;Andrychów;2
Najwyższa góra w Japonii;Fudżi;Fidż;Fadżi;Ta góra z obrazka;1
Jakim zwierzęciem jest Pumba z filmu „Król Lew”?;świnka;ryjec;guziec;knur;3
Jak się wabi pies Myszki Miki?;Pluto;Goofy;Scooby-Doo;Cliford;1
Jakiej narodowości był Mozart?;Rosyjskiej;Polskiej;Niemieckiej;Austriackiej;4
Gdzie otwarto pierwsze na świecie metro?;w Nowym Yorku;w Londynie;w Subway Surfers;w Warszawie;2
Który król przeniósł stolicę Polski z Krakowa do Warszawy?;Król Maciuś I;Zygmunt III Waza;Bolesław Chrobry;Władysław Łokietek;2
Jak nazywa się dawna siedziba królów Polski?;Łazienki Warszawskie;Biały Dom;Kreml;Wawel;4
Czy Nagroda Nobla jest nagrodą pieniężną?;tak;nie;okoń;jeszcze jak;1
Jak się nazywał przyjaciel Filemona z dobranocki?;Maciuś;Andrzej;Bonifacy;Klakier;3
