Nad jaką rzeką leży Rzeszów?;nad Odrą;nad Wisłokiem;nad Wisłą;nad Wartą;2
W jakim mieście znajduje się Klasztor Paulinów ze Świętym Obrazem Matki Boskiej na Jasnej Górze?;w Krynicy;w Kielcach;w Krakowie;w Częstochowie;4
Stolicą jakiego państwa jest Bejrut?;Turcji;Chin;Libanu;Korei Płd.;3
Jak nazywa się najmniejsze państwo świata?;Watykan;Bruksela;Islandia;Madagaskar;1
Ile osób jest w kwintecie?;3;5;6;4;2
Który dzień jest dniem przesilenia letniego?;22 czerwca;23 czerwca;21 czerwca;20 czerwca;3
Który z gazów jest najlżejszy?;Wodór;Tlen;Ozon;Hel;1
Kolor szkarłatny to: ;ciemna czerwień;jasna czerwień;jasny błękit;ciemny błękit;1
Imię polskiej aktorki Kwiatkowskiej?;Zofia;Aneta;Irena;Marcelina;3
Największy kot na świecie?;lew;tygrys azjatycki;puma;tygrys syberyjski;4
